"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://glenviewexteriorcleaning.co.uk/","text/html; charset=UTF-8","200","OK","Indexable","","GlenView Exterior Cleaning - Professional Exterior Cleaning | North Glasgow, East Dunbartonshire, North Lanarkshire, Falkirk and Stirling","137","1192","Expert roof cleaning, render softwashing, driveway, gutter, PVC and window cleaning across North Glasgow, East Dunbartonshire, North Lanarkshire, Falkirk and Stirling. Get a free quote for your property.","203","1251","","0","Roof Cleaning Central Scotland","30","Why Choose GlenView Exterior Cleaning?","38","Browse our services.","20","index, follow","","","https://glenviewexteriorcleaning.co.uk/","","","","","","132251","18737","18737","7.178","","1014","249","4.072","69.044","Normal","5.426","0","0","","979","198","0","100.000","121","62","0","6","3","0","","","","","43879c78f165aaa02984013679ca925c","0.155","","","","","en","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/","2026-05-11 19:06:44"
"https://glenviewexteriorcleaning.co.uk/driveway-cleaning","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","1","0","","4","2","0","1.010","0","0","0","0","0","0","","","","","","0.447","","https://glenviewexteriorcleaning.co.uk/driveway-cleaning/","HTTP Redirect","","","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/driveway-cleaning","2026-05-11 19:06:48"
"https://glenviewexteriorcleaning.co.uk/glenboig/","text/html; charset=UTF-8","200","OK","Indexable","","Exterior Cleaning Glenboig | Roof, Driveway & Gutter Cleaning | GlenView Exterior Cleaning","90","791","Professional exterior cleaning in Glenboig and nearby. Roof steam cleaning, render softwashing, driveway, gutter, PVC and window cleaning. Get a free quote.","156","972","","0","Exterior Cleaning in Glenboig","29","Why Choose GlenView Exterior Cleaning?","38","Our services in Glenboig","24","index, follow","","","https://glenviewexteriorcleaning.co.uk/glenboig/","","","","","","127284","19187","19187","7.350","","1278","278","4.597","73.349","Fairly Easy","6.810","1","1","","394","198","0","100.000","121","63","0","6","3","0","","","","","96e4f35a65c5d4f35297393438a3925d","0.566","","","","","en","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/glenboig/","2026-05-11 19:06:48"
"https://glenviewexteriorcleaning.co.uk/roof-steam-cleaning","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","1","0","","4","2","0","1.010","0","0","0","0","0","0","","","","","","0.899","","https://glenviewexteriorcleaning.co.uk/roof-steam-cleaning/","HTTP Redirect","","","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/roof-steam-cleaning","2026-05-11 19:06:49"
"https://glenviewexteriorcleaning.co.uk/services/","text/html; charset=UTF-8","200","OK","Indexable","","Our Services - GlenView Exterior Cleaning | Roof, Render, Driveway & More","73","649","Roof steam cleaning, render softwashing, driveway, gutter, PVC and window cleaning across North Glasgow, East Dunbartonshire, North Lanarkshire, Falkirk and Stirling. Professional exterior cleaning for your property.","216","1340","","0","Expert Exterior Cleaning Services","33","Browse our services.","20","Get in touch for your free, no-obligation quote","47","index, follow","","","https://glenviewexteriorcleaning.co.uk/services/","","","","","","69834","11478","11478","4.397","","286","79","3.620","48.455","Hard","3.907","1","1","","405","198","0","100.000","72","56","0","2","2","0","","","","","7c7bbc0a32772ab514cc1e64da2fcc03","0.572","","","","","en","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/services/","2026-05-11 19:06:48"
"https://glenviewexteriorcleaning.co.uk/kirkintilloch/","text/html; charset=UTF-8","200","OK","Indexable","","Exterior Cleaning Kirkintilloch | Roof, Driveway & Gutter Cleaning | GlenView Exterior Cleaning","95","817","Professional exterior cleaning in Kirkintilloch and nearby. Roof steam cleaning, render softwashing, driveway, gutter, PVC and window cleaning. Get a free quote.","161","990","","0","Exterior Cleaning in Kirkintilloch","34","Why Choose GlenView Exterior Cleaning?","38","Our services in Kirkintilloch","29","index, follow","","","https://glenviewexteriorcleaning.co.uk/kirkintilloch/","","","","","","127579","19146","19146","7.334","","1278","279","4.581","70.718","Fairly Easy","6.875","1","1","","394","198","0","100.000","121","63","0","6","3","0","","","","","1a13c2283d8f3dca03d5da0830ffaf80","0.337","","","","","en","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/kirkintilloch/","2026-05-11 19:06:48"
"https://glenviewexteriorcleaning.co.uk/_astro/_service_.Dgihpmma.css","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.166","","","","","","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/_astro/_service_.Dgihpmma.css","2026-05-11 19:06:50"
"https://glenviewexteriorcleaning.co.uk/portfolio/pvc-clean.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","59358","59358","59358","22.739","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.043","","","","","","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/portfolio/pvc-clean.jpg","2026-05-11 19:06:50"
"https://glenviewexteriorcleaning.co.uk/portfolio/render-softwash.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","941904","941904","941904","360.826","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.170","","","","","","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/portfolio/render-softwash.jpg","2026-05-11 19:06:51"
"https://glenviewexteriorcleaning.co.uk/driveway-cleaning/","text/html; charset=UTF-8","200","OK","Indexable","","Driveway Cleaning - GlenView Exterior Cleaning | Central Scotland","65","578","Driveway cleaning, pressure washing and driveway restoration. Professional patio and driveway cleaning with pressure washing services.","134","848","","0","Driveway Cleaning","17","Why Choose Our Driveway Cleaning?","33","How It Works","12","index, follow","","","https://glenviewexteriorcleaning.co.uk/driveway-cleaning/","","","","","","84031","15140","15140","5.800","","616","168","3.667","76.488","Fairly Easy","5.305","1","1","","199","198","0","100.000","100","50","0","6","3","0","","","","","e5d272c2be9782afe6bc20e779034d89","0.172","","","","","en","1.1","","","","","","https://glenviewexteriorcleaning.co.uk/driveway-cleaning/","2026-05-11 19:06:51"
